ticker,ccp,tag
abus,CY2011,"151     ContractsRevenue
220      LicensesRevenue
3216            Revenues
Name: (abus, CY2011), dtype: object"
abus,CY2012,"155     ContractsRevenue
222      LicensesRevenue
3620            Revenues
Name: (abus, CY2012), dtype: object"
abus,CY2013,"141     ContractsRevenue
219      LicensesRevenue
3484            Revenues
Name: (abus, CY2013), dtype: object"
abus,CY2014,"122     ContractsRevenue
210      LicensesRevenue
2602            Revenues
Name: (abus, CY2014), dtype: object"
abus,CY2015,"116     ContractsRevenue
193      LicensesRevenue
2334            Revenues
Name: (abus, CY2015), dtype: object"
abus,CY2016,"109     ContractsRevenue
170      LicensesRevenue
2454            Revenues
Name: (abus, CY2016), dtype: object"
abus,CY2017,"87      ContractsRevenue
138      LicensesRevenue
2567            Revenues
Name: (abus, CY2017), dtype: object"
abvc,CY2010,"1026    ProfessionalFees
2346            Revenues
Name: (abvc, CY2010), dtype: object"
abvc,CY2011,"1364    ProfessionalFees
2135            Revenues
Name: (abvc, CY2011), dtype: object"
abvc,CY2019,"362     ProfessionalFees
1210            Revenues
Name: (abvc, CY2019), dtype: object"
abvc,CY2021,"340     ProfessionalFees
1042            Revenues
Name: (abvc, CY2021), dtype: object"
acad,CY2009,"221     InvestmentIncomeNet
1695               Revenues
Name: (acad, CY2009), dtype: object"
acad,CY2010,"312     InvestmentIncomeNet
2929               Revenues
Name: (acad, CY2010), dtype: object"
acad,CY2011,"379     InvestmentIncomeNet
1637               Revenues
Name: (acad, CY2011), dtype: object"
acad,CY2012,"370     InvestmentIncomeNet
3653               Revenues
Name: (acad, CY2012), dtype: object"
acan,CY2014,"1065    ProfessionalFees
2893            Revenues
Name: (acan, CY2014), dtype: object"
acan,CY2015,"894     ProfessionalFees
2568            Revenues
Name: (acan, CY2015), dtype: object"
acan,CY2016,"783     ProfessionalFees
2685            Revenues
Name: (acan, CY2016), dtype: object"
acan,CY2017,"716     ProfessionalFees
2803            Revenues
Name: (acan, CY2017), dtype: object"
acan,CY2019,"643     ProfessionalFees
1868            Revenues
Name: (acan, CY2019), dtype: object"
acan,CY2020,"640     ProfessionalFees
1732            Revenues
Name: (acan, CY2020), dtype: object"
acbm,CY2017,"927                                     ProfessionalFees
532    RevenueFromContractWithCustomerIncludingAssess...
Name: (acbm, CY2017), dtype: object"
accd,CY2018,"1898    RevenueFromContractWithCustomerExcludingAssess...
219                             RevenueFromRelatedParties
Name: (accd, CY2018), dtype: object"
accd,CY2019,"1867    RevenueFromContractWithCustomerExcludingAssess...
200                             RevenueFromRelatedParties
Name: (accd, CY2019), dtype: object"
accd,CY2020,"1828    RevenueFromContractWithCustomerExcludingAssess...
179                             RevenueFromRelatedParties
Name: (accd, CY2020), dtype: object"
acco,CY2010,"180     RevenueFromRelatedParties
1157              SalesRevenueNet
Name: (acco, CY2010), dtype: object"
acco,CY2011,"246     RevenueFromRelatedParties
1326              SalesRevenueNet
Name: (acco, CY2011), dtype: object"
acco,CY2012,"277     RevenueFromRelatedParties
1196              SalesRevenueNet
Name: (acco, CY2012), dtype: object"
acco,CY2013,"273     RevenueFromRelatedParties
1094              SalesRevenueNet
Name: (acco, CY2013), dtype: object"
acel,CY2017,"1068                                     ProfessionalFees
423     RevenueFromContractWithCustomerIncludingAssess...
Name: (acel, CY2017), dtype: object"
acel,CY2018,"1012                                     ProfessionalFees
974     RevenueFromContractWithCustomerIncludingAssess...
Name: (acel, CY2018), dtype: object"
acel,CY2019,"910                                     ProfessionalFees
805    RevenueFromContractWithCustomerIncludingAssess...
Name: (acel, CY2019), dtype: object"
acel,CY2020,"898                                     ProfessionalFees
730    RevenueFromContractWithCustomerIncludingAssess...
Name: (acel, CY2020), dtype: object"
acel,CY2021,"850                                     ProfessionalFees
661    RevenueFromContractWithCustomerIncludingAssess...
Name: (acel, CY2021), dtype: object"
acfn,CY2009,"896              SalesRevenueNet
49     TechnologyServicesRevenue
Name: (acfn, CY2009), dtype: object"
